id,lat,long,timerTime,power,speed,heartRate
8734368766,47.43717700000000,16.53198600000000,1.0,,0.1,88.0
8734368766,47.43682800000000,16.53142600000000,21.0,,20.1,111.0
8734368766,47.43642300000000,16.53061200000000,33.0,,23.3,120.0
8734368766,47.43583600000000,16.52954600000000,49.0,,23.3,124.0
8734368766,47.43547700000000,16.52910600000000,58.0,,20.7,124.0
8734368766,47.43504600000000,16.52875000000000,68.0,,19.8,133.0
8734368766,47.43459700000000,16.52851900000000,78.0,,19.2,140.0
8734368766,47.43381600000000,16.52844900000000,93.0,,20.9,133.0
8734368766,47.43379600000000,16.52775100000000,112.0,,14.3,143.0
8734368766,47.43334200000000,16.52700900000000,127.0,,18.1,147.0
8734368766,47.43300500000000,16.52644700000000,138.0,,18.5,151.0
8734368766,47.43256500000000,16.52573500000000,153.0,,17.3,157.0
8734368766,47.43235200000000,16.52495800000000,169.0,,16.1,160.0
8734368766,47.43288600000000,16.52424500000000,183.0,,20.6,156.0
8734368766,47.43332300000000,16.52369200000000,193.0,,23.1,150.0
8734368766,47.43373100000000,16.52315600000000,202.0,,24.3,148.0
8734368766,47.43419400000000,16.52253900000000,213.0,,22.3,141.0
8734368766,47.43479800000000,16.52173000000000,227.0,,23.3,137.0
8734368766,47.43499400000000,16.52148700000000,231.0,,24.7,136.0
8734368766,47.43555000000000,16.52075300000000,242.0,,27.2,143.0
8734368766,47.43602300000000,16.52013500000000,251.0,,28.1,147.0
8734368766,47.43644100000000,16.51957600000000,259.0,,28.3,150.0
8734368766,47.43697300000000,16.51887100000000,269.0,,28.6,153.0
8734368766,47.43740100000000,16.51830600000000,277.0,,28.8,151.0
8734368766,47.43787600000000,16.51767800000000,286.0,,28.4,148.0
8734368766,47.43834600000000,16.51704500000000,295.0,,28.3,145.0
8734368766,47.43890100000000,16.51630600000000,306.0,,27.1,142.0
8734368766,47.43920000000000,16.51559200000000,318.0,,19.6,135.0
8734368766,47.43884300000000,16.51498500000000,332.0,,15.0,141.0
8734368766,47.43839300000000,16.51429600000000,354.0,,11.5,151.0
8734368766,47.43806600000000,16.51359900000000,377.0,,9.5,165.0
8734368766,47.43754600000000,16.51309500000000,401.0,,10.6,172.0
8734368766,47.43702000000000,16.51277600000000,424.0,,9.6,175.0
8734368766,47.43636400000000,16.51245000000000,453.0,,9.8,175.0
8734368766,47.43569600000000,16.51262800000000,475.0,,13.0,168.0
8734368766,47.43526500000000,16.51290000000000,488.0,,14.7,159.0
8734368766,47.43458200000000,16.51322800000000,508.0,,14.6,156.0
8734368766,47.43404400000000,16.51336700000000,530.0,,9.8,161.0
8734368766,47.43355000000000,16.51272300000000,557.0,,9.8,175.0
8734368766,47.43343700000000,16.51178000000000,577.0,,17.1,165.0
8734368766,47.43308200000000,16.51143800000000,592.0,,15.6,155.0
8734368766,47.43242700000000,16.51133600000000,607.0,,18.8,135.0
8734368766,47.43181200000000,16.51122400000000,623.0,,11.2,142.0
8734368766,47.43121200000000,16.51113000000000,650.0,,8.7,168.0
8734368766,47.43060200000000,16.51097200000000,680.0,,8.7,184.0
8734368766,47.43040300000000,16.51064300000000,706.0,,10.5,180.0
8734368766,47.43000100000000,16.51020800000000,725.0,,13.5,173.0
8734368766,47.42943900000000,16.51001600000000,738.0,,19.2,163.0
8734368766,47.42864200000000,16.50948200000000,757.0,,17.4,152.0
8734368766,47.42828300000000,16.50921400000000,772.0,,9.4,161.0
8734368766,47.42771400000000,16.50874600000000,804.0,,7.1,173.0
8734368766,47.42721900000000,16.50814400000000,845.0,,6.3,177.0
8734368766,47.42682500000000,16.50808200000000,874.0,,9.7,173.0
8734368766,47.42638500000000,16.50791500000000,896.0,,14.0,160.0
8734368766,47.42588700000000,16.50731900000000,912.0,,17.4,148.0
8734368766,47.42544300000000,16.50691500000000,921.0,,23.1,140.0
8734368766,47.42491000000000,16.50628000000000,939.0,,13.8,152.0
8734368766,47.42429800000000,16.50574300000000,960.0,,13.3,162.0
8734368766,47.42370500000000,16.50524100000000,978.0,,15.2,160.0
8734368766,47.42340500000000,16.50503200000000,986.0,,16.6,154.0
8734368766,47.42270600000000,16.50474700000000,1002.0,,19.7,142.0
8734368766,47.42204500000000,16.50509200000000,1021.0,,17.7,133.0
8734368766,47.42178100000000,16.50461100000000,1031.0,,17.4,127.0
8734368766,47.42127000000000,16.50475000000000,1050.0,,11.9,137.0
8734368766,47.42073900000000,16.50457200000000,1070.0,,11.7,152.0
8734368766,47.42004900000000,16.50482600000000,1092.0,,13.2,160.0
8734368766,47.41952900000000,16.50527200000000,1110.0,,13.4,156.0
8734368766,47.41896200000000,16.50573700000000,1128.0,,14.4,152.0
8734368766,47.41840500000000,16.50625700000000,1146.0,,14.7,154.0
8734368766,47.41800700000000,16.50661700000000,1158.0,,15.4,151.0
8734368766,47.41759600000000,16.50717100000000,1168.0,,24.8,144.0
8734368766,47.41718500000000,16.50781400000000,1177.0,,25.4,135.0
8734368766,47.41673900000000,16.50869800000000,1192.0,,19.1,136.0
8734368766,47.41653900000000,16.50897500000000,1207.0,,14.4,136.0
8734368766,47.41607900000000,16.50805600000000,1226.0,,16.9,134.0
8734368766,47.41573700000000,16.50776100000000,1233.0,,22.8,130.0
8734368766,47.41547200000000,16.50682800000000,1244.0,,25.7,124.0
8734368766,47.41521900000000,16.50588500000000,1255.0,,25.2,113.0
8734368766,47.41503100000000,16.50517700000000,1263.0,,26.3,107.0
8734368766,47.41482300000000,16.50441500000000,1271.0,,27.9,110.0
8734368766,47.41450900000000,16.50383000000000,1288.0,,13.1,115.0
